,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,notes
0,MSIM2,2021-01-12,2021-01-12,Monetary Services Index: M2 (preferred),1967-01-01,2013-12-01,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted,SA,2014-01-17 07:16:44-06,23,23,"The MSI measure the flow of monetary services received each period by households and firms from their holdings of monetary assets (levels of the indexes are sometimes referred to as Divisia monetary aggregates).
Preferred benchmark rate equals 100 basis points plus the largest rate in the set of rates.
Alternative benchmark rate equals the larger of the preferred benchmark rate and the Baa corporate bond yield.
More information about the new MSI can be found at
http://research.stlouisfed.org/msi/index.html."
1,EPUMONETARY,2021-01-12,2021-01-12,Economic Policy Uncertainty Index: Categorical Index: Monetary policy,1985-01-01,2020-11-01,Monthly,M,Index,Index,Not Seasonally Adjusted,NSA,2020-12-31 08:01:06-06,23,22,"The EPU Categorical Data include a range of sub-indexes based solely on news data. These are derived using results from the Access World News database of over 2,000 US newspapers.

For further explanation, please see the source page on  Categorical EPU data (https://www.policyuncertainty.com/categorical_epu.html)."
2,MSIALLP,2021-01-12,2021-01-12,Monetary Services Index: ALL Assets (preferred),1967-01-01,2013-12-01,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted,SA,2014-01-17 07:16:45-06,15,14,"The MSI measure the flow of monetary services received each period by households and firms from their holdings of monetary assets (levels of the indexes are sometimes referred to as Divisia monetary aggregates).
Preferred benchmark rate equals 100 basis points plus the largest rate in the set of rates.
Alternative benchmark rate equals the larger of the preferred benchmark rate and the Baa corporate bond yield."
3,MSIMZMP,2021-01-12,2021-01-12,Monetary Services Index: MZM (preferred),1967-01-01,2013-12-01,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted,SA,2014-01-17 07:16:42-06,12,12,"The MSI measure the flow of monetary services received each period by households and firms from their holdings of monetary assets (levels of the indexes are sometimes referred to as Divisia monetary aggregates).
Preferred benchmark rate equals 100 basis points plus the largest rate in the set of rates.
Alternative benchmark rate equals the larger of the preferred benchmark rate and the Baa corporate bond yield."
4,MSIM1P,2021-01-12,2021-01-12,Monetary Services Index: M1 (preferred),1967-01-01,2013-12-01,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted,SA,2014-01-17 07:16:45-06,10,10,The MSI measure the flow of monetary services received each period by households and firms from their holdings of monetary assets (levels of the indexes are sometimes referred to as Divisia monetary aggregates).
5,OCM2P,2021-01-12,2021-01-12,Real User Cost Index of MSI-M2 (preferred),1967-01-01,2013-12-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2014-01-17 07:16:41-06,9,9,"Preferred benchmark rate equals 100 basis points plus the largest rate in the set of rates.
Alternative benchmark rate equals the larger of the preferred benchmark rate and the Baa corporate bond yield."
6,MANMNM01JPA661S,2021-01-12,2021-01-12,"Narrow Money, Index for Japan (DISCONTINUED)",1955-01-01,2013-01-01,Annual,A,Index 2010=1,Index 2010=1,Not Seasonally Adjusted,NSA,2014-05-05 09:22:46-05,2,7,"OECD descriptor ID: MANMNM01
OECD unit ID: IXOBSA
OECD country ID: JPN

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
7,MANMNM01JPM661S,2021-01-12,2021-01-12,"Narrow Money, Index for Japan (DISCONTINUED)",1955-01-01,2013-12-01,Monthly,M,Index 2010=1,Index 2010=1,Seasonally Adjusted,SA,2014-05-05 09:22:46-05,1,7,"OECD descriptor ID: MANMNM01
OECD unit ID: IXOBSA
OECD country ID: JPN

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
8,MANMNM01JPQ661S,2021-01-12,2021-01-12,"Narrow Money, Index for Japan (DISCONTINUED)",1955-01-01,2013-10-01,Quarterly,Q,Index 2010=1,Index 2010=1,Seasonally Adjusted,SA,2014-05-05 09:22:46-05,0,7,"OECD descriptor ID: MANMNM01
OECD unit ID: IXOBSA
OECD country ID: JPN

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
9,MSIM2DS,2021-01-12,2021-01-12,Monetary Services Index: M2 (DISCONTINUED),1959-01-01,2004-04-01,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted,SA,2004-09-20 09:21:53-05,6,6,Further information and definitions are available at: http://research.stlouisfed.org/publications/mt and http://research.stlouisfed.org/msi. This series was last updated 5/14/2004. Please refer to the series MSIM2 for the revised series.
10,OCALLP,2021-01-12,2021-01-12,Real User Cost Index of MSI-ALL Assets (preferred),1967-01-01,2013-12-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2014-01-17 07:16:42-06,6,6,"Preferred benchmark rate equals 100 basis points plus the largest rate in the set of rates.
Alternative benchmark rate equals the larger of the preferred benchmark rate and the Baa corporate bond yield."
11,OECDMABMM301IXOBSAM,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for OECD - Total,1980-01-01,2020-09-01,Monthly,M,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 14:39:08-06,8,17,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: OECD All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
12,MANMNM01JPA657S,2021-01-12,2021-01-12,"Narrow Money, Index for Japan (DISCONTINUED)",1956-01-01,2013-01-01,Annual,A,Growth Rate Previous Period,Growth Rate Previous Period,Not Seasonally Adjusted,NSA,2014-05-05 09:22:47-05,5,7,"OECD descriptor ID: MANMNM01
OECD unit ID: GPSA
OECD country ID: JPN

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
13,OECDMABMM301IXOBSAQ,2021-01-12,2021-01-12,Monetary aggregates and their components: Broad money and components: M3: M3 for OECD - Total,1980-01-01,2020-07-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2020-12-10 14:53:47-06,1,17,"OECD descriptor ID: MABMM301 OECD unit ID: IXOBSA OECD country ID: OECD All OECD data should be cited as follows: OECD,""Main Economic Indicators - complete database""Main Economic Indicators(database)http://dx.doi.org/10.1787/data-00052-en(Accessed on date)Copyright, 2016, OECD. Reprinted with permission."
14,MSIMZMA,2021-01-12,2021-01-12,Monetary Services Index: MZM (alternative),1967-01-01,2013-12-01,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted,SA,2014-01-17 07:16:43-06,5,5,"The MSI measure the flow of monetary services received each period by households and firms from their holdings of monetary assets (levels of the indexes are sometimes referred to as Divisia monetary aggregates).
Preferred benchmark rate equals 100 basis points plus the largest rate in the set of rates.
Alternative benchmark rate equals the larger of the preferred benchmark rate and the Baa corporate bond yield."
15,MANMNM01JPM657S,2021-01-12,2021-01-12,"Narrow Money, Index for Japan (DISCONTINUED)",1955-02-01,2013-12-01,Monthly,M,Growth Rate Previous Period,Growth Rate Previous Period,Seasonally Adjusted,SA,2014-05-05 09:22:46-05,1,7,"OECD descriptor ID: MANMNM01
OECD unit ID: GPSA
OECD country ID: JPN

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
16,MANMNM01JPQ657S,2021-01-12,2021-01-12,"Narrow Money, Index for Japan (DISCONTINUED)",1955-04-01,2013-10-01,Quarterly,Q,Growth Rate Previous Period,Growth Rate Previous Period,Seasonally Adjusted,SA,2014-05-05 09:22:46-05,1,7,"OECD descriptor ID: MANMNM01
OECD unit ID: GPSA
OECD country ID: JPN

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)
Copyright, 2016, OECD. Reprinted with permission."
17,MSIM2A,2021-01-12,2021-01-12,Monetary Services Index: M2 (alternative),1967-01-01,2013-12-01,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted,SA,2014-01-17 07:16:44-06,4,4,"The MSI measure the flow of monetary services received each period by households and firms from their holdings of monetary assets (levels of the indexes are sometimes referred to as Divisia monetary aggregates).
Preferred benchmark rate equals 100 basis points plus the largest rate in the set of rates.
Alternative benchmark rate equals the larger of the preferred benchmark rate and the Baa corporate bond yield."
18,MSIM2MP,2021-01-12,2021-01-12,Monetary Services Index: M2M (preferred),1967-01-01,2013-12-01,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted,SA,2014-01-17 07:16:43-06,4,4,"The MSI measure the flow of monetary services received each period by households and firms from their holdings of monetary assets (levels of the indexes are sometimes referred to as Divisia monetary aggregates).
Preferred benchmark rate equals 100 basis points plus the largest rate in the set of rates.
Alternative benchmark rate equals the larger of the preferred benchmark rate and the Baa corporate bond yield."
19,MSIALLA,2021-01-12,2021-01-12,Monetary Services Index: ALL Assets (alternative),1967-01-01,2013-12-01,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted,SA,2014-01-17 07:16:46-06,4,4,"The MSI measure the flow of monetary services received each period by households and firms from their holdings of monetary assets (levels of the indexes are sometimes referred to as Divisia monetary aggregates).
Preferred benchmark rate equals 100 basis points plus the largest rate in the set of rates.
Alternative benchmark rate equals the larger of the preferred benchmark rate and the Baa corporate bond yield."
